# Halogen flat field lamp fluxes
# Lamp flux entering a 1"0 x 22"8 arcsec slit
# Does not include transmission of mosaic filter
# Assumes 100% reflectivity of retro-reflector in etalon beam
# Loss in ADC is not considered
# Column 1 : Wavelength [nm]
# Column 2 : Flux from lamp on integrating sphere [photons/sec/nm]
# Column 3 : Flux from lamp on etalon [photons/sec/nm]
300.0 3.95e+06 2.59e+04
302.2 4.29e+06 2.82e+04
304.4 4.66e+06 3.06e+04
306.6 5.05e+06 3.32e+04
308.8 5.47e+06 3.59e+04
311.0 5.91e+06 3.88e+04
313.2 6.39e+06 4.19e+04
315.4 6.89e+06 4.52e+04
317.6 7.42e+06 4.87e+04
319.8 7.98e+06 5.24e+04
322.0 8.57e+06 5.63e+04
324.2 9.2e+06 6.04e+04
326.4 9.86e+06 6.47e+04
328.6 1.06e+07 6.93e+04
330.8 1.13e+07 7.42e+04
333.0 1.21e+07 7.92e+04
335.2 1.29e+07 8.46e+04
337.4 1.37e+07 9.02e+04
339.6 1.46e+07 9.61e+04
341.8 1.56e+07 1.02e+05
344.0 1.66e+07 1.09e+05
346.2 1.76e+07 1.15e+05
348.4 1.87e+07 1.22e+05
350.7 1.98e+07 1.3e+05
352.9 2.09e+07 1.38e+05
355.1 2.22e+07 1.46e+05
357.3 2.34e+07 1.54e+05
359.5 2.48e+07 1.63e+05
361.7 2.62e+07 1.72e+05
363.9 2.76e+07 1.81e+05
366.1 2.91e+07 1.91e+05
368.3 3.06e+07 2.01e+05
370.5 3.22e+07 2.12e+05
372.7 3.39e+07 2.23e+05
374.9 3.56e+07 2.34e+05
377.1 3.74e+07 2.46e+05
379.3 3.92e+07 2.58e+05
381.5 4.11e+07 2.7e+05
383.7 4.31e+07 2.83e+05
385.9 4.52e+07 2.96e+05
388.1 4.73e+07 3.1e+05
390.3 4.94e+07 3.25e+05
392.5 5.17e+07 3.39e+05
394.7 5.4e+07 3.54e+05
396.9 5.63e+07 3.7e+05
399.1 5.88e+07 3.86e+05
401.3 6.13e+07 4.02e+05
403.5 6.39e+07 4.19e+05
405.7 6.65e+07 4.37e+05
407.9 6.92e+07 4.55e+05
410.1 7.2e+07 4.73e+05
412.3 7.49e+07 4.92e+05
414.5 7.78e+07 5.11e+05
416.7 8.08e+07 5.31e+05
418.9 8.39e+07 5.51e+05
421.1 8.71e+07 5.72e+05
423.3 9.03e+07 5.93e+05
425.5 9.36e+07 6.15e+05
427.7 9.7e+07 6.37e+05
429.9 1e+08 6.6e+05
432.1 1.04e+08 6.83e+05
434.3 1.08e+08 7.07e+05
436.5 1.11e+08 7.31e+05
438.7 1.15e+08 7.56e+05
440.9 1.19e+08 7.81e+05
443.1 1.23e+08 8.06e+05
445.3 1.27e+08 8.33e+05
447.5 1.31e+08 8.59e+05
449.7 1.35e+08 8.87e+05
452.0 1.39e+08 9.14e+05
454.2 1.44e+08 9.42e+05
456.4 1.48e+08 9.71e+05
458.6 1.52e+08 1e+06
460.8 1.57e+08 1.03e+06
463.0 1.61e+08 1.06e+06
465.2 1.66e+08 1.09e+06
467.4 1.71e+08 1.12e+06
469.6 1.76e+08 1.15e+06
471.8 1.81e+08 1.19e+06
474.0 1.86e+08 1.22e+06
476.2 1.91e+08 1.25e+06
478.4 1.96e+08 1.28e+06
480.6 2.01e+08 1.32e+06
482.8 2.06e+08 1.35e+06
485.0 2.11e+08 1.39e+06
487.2 2.17e+08 1.42e+06
489.4 2.22e+08 1.46e+06
491.6 2.28e+08 1.49e+06
493.8 2.33e+08 1.53e+06
496.0 2.39e+08 1.57e+06
498.2 2.45e+08 1.61e+06
500.4 2.5e+08 1.64e+06
502.6 2.56e+08 1.68e+06
504.8 2.62e+08 1.72e+06
507.0 2.68e+08 1.76e+06
509.2 2.74e+08 1.8e+06
511.4 2.8e+08 1.84e+06
513.6 2.86e+08 1.88e+06
515.8 2.93e+08 1.92e+06
518.0 2.99e+08 1.96e+06
520.2 3.05e+08 2e+06
522.4 3.12e+08 2.05e+06
524.6 3.18e+08 2.09e+06
526.8 3.25e+08 2.13e+06
529.0 3.31e+08 2.17e+06
531.2 3.38e+08 2.22e+06
533.4 3.44e+08 2.26e+06
535.6 3.51e+08 2.31e+06
537.8 3.58e+08 2.35e+06
540.0 3.65e+08 2.39e+06
542.2 3.72e+08 2.44e+06
544.4 3.78e+08 2.49e+06
546.6 3.85e+08 2.53e+06
548.8 3.92e+08 2.58e+06
551.1 3.99e+08 2.62e+06
553.3 4.07e+08 2.67e+06
555.5 4.14e+08 2.72e+06
557.7 4.21e+08 2.76e+06
559.9 4.28e+08 2.81e+06
562.1 4.35e+08 2.86e+06
564.3 4.43e+08 2.91e+06
566.5 4.5e+08 2.95e+06
568.7 4.57e+08 3e+06
570.9 4.65e+08 3.05e+06
573.1 4.72e+08 3.1e+06
575.3 4.8e+08 3.15e+06
577.5 4.87e+08 3.2e+06
579.7 4.95e+08 3.25e+06
581.9 5.02e+08 3.3e+06
584.1 5.1e+08 3.35e+06
586.3 5.17e+08 3.4e+06
588.5 5.25e+08 3.45e+06
590.7 5.33e+08 3.5e+06
592.9 5.4e+08 3.55e+06
595.1 5.48e+08 3.6e+06
597.3 5.56e+08 3.65e+06
599.5 5.63e+08 3.7e+06
601.7 5.71e+08 3.75e+06
603.9 5.79e+08 3.8e+06
606.1 5.87e+08 3.85e+06
608.3 5.95e+08 3.9e+06
610.5 6.02e+08 3.95e+06
612.7 6.1e+08 4.01e+06
614.9 6.18e+08 4.06e+06
617.1 6.26e+08 4.11e+06
619.3 6.34e+08 4.16e+06
621.5 6.42e+08 4.21e+06
623.7 6.5e+08 4.27e+06
625.9 6.58e+08 4.32e+06
628.1 6.65e+08 4.37e+06
630.3 6.73e+08 4.42e+06
632.5 6.81e+08 4.47e+06
634.7 6.89e+08 4.53e+06
636.9 6.97e+08 4.58e+06
639.1 7.05e+08 4.63e+06
641.3 7.13e+08 4.68e+06
643.5 7.21e+08 4.73e+06
645.7 7.29e+08 4.79e+06
647.9 7.37e+08 4.84e+06
650.2 7.45e+08 4.89e+06
652.4 7.53e+08 4.94e+06
654.6 7.61e+08 4.99e+06
656.8 7.69e+08 5.05e+06
659.0 7.76e+08 5.1e+06
661.2 7.84e+08 5.15e+06
663.4 7.92e+08 5.2e+06
665.6 8e+08 5.25e+06
667.8 8.08e+08 5.31e+06
670.0 8.16e+08 5.36e+06
672.2 8.24e+08 5.41e+06
674.4 8.32e+08 5.46e+06
676.6 8.39e+08 5.51e+06
678.8 8.47e+08 5.56e+06
681.0 8.55e+08 5.61e+06
683.2 8.63e+08 5.67e+06
685.4 8.71e+08 5.72e+06
687.6 8.78e+08 5.77e+06
689.8 8.86e+08 5.82e+06
692.0 8.94e+08 5.87e+06
694.2 9.02e+08 5.92e+06
696.4 9.09e+08 5.97e+06
698.6 9.17e+08 6.02e+06
700.8 9.25e+08 6.07e+06
703.0 9.32e+08 6.12e+06
705.2 9.4e+08 6.17e+06
707.4 9.48e+08 6.22e+06
709.6 9.55e+08 6.27e+06
711.8 9.63e+08 6.32e+06
714.0 9.7e+08 6.37e+06
716.2 9.78e+08 6.42e+06
718.4 9.85e+08 6.47e+06
